ID,Theme,Kanji,Reading,Romaji,English
EO001,Everyday Objects,本,ほん,Hon,Book
EO002,Everyday Objects,辞書,じしょ,Jisho,Dictionary
EO003,Everyday Objects,雑誌,ざっし,Zasshi,Magazine
EO004,Everyday Objects,新聞,しんぶん,Shinbun,Newspaper
EO005,Everyday Objects,ノート,ノート,Nōto,Notebook
EO006,Everyday Objects,手帳,てちょう,Techō,Pocket notebook
EO007,Everyday Objects,名刺,めいし,Meishi,Business card
EO008,Everyday Objects,カード,カード,Kādo,Card
EO009,Everyday Objects,鉛筆,えんぴつ,Enpitsu,Pencil
EO010,Everyday Objects,ボールペン,ボールペン,Bōrupen,Ballpoint pen
EO011,Everyday Objects,シャーペン,シャーペン,Shāpen,Mechanical pencil
EO012,Everyday Objects,鍵,かぎ,Kagi,Key
EO013,Everyday Objects,時計,とけい,Tokei,Watch / Clock
EO014,Everyday Objects,傘,かさ,Kasa,Umbrella
EO015,Everyday Objects,鞄,かばん,Kaban,Bag / Briefcase
EO016,Everyday Objects,靴,くつ,Kutsu,Shoes
EO017,Everyday Objects,ネクタイ,ネクタイ,Nekutai,Necktie
EO018,Everyday Objects,紙,かみ,Kami,Paper
EO019,Everyday Objects,箱,はこ,Hako,Box
EO020,Everyday Objects,荷物,にもつ,Nimotsu,Baggage / Parcel
EO021,Everyday Objects,はさみ,はさみ,Hasami,Scissors
EO022,Everyday Objects,ナイフ,ナイフ,Naifu,Knife
EO023,Everyday Objects,ホッチキス,ホッチキス,Hotchikisu,Stapler
EO024,Everyday Objects,消しゴム,けしごむ,Keshigomu,Eraser
EO025,Everyday Objects,目覚まし,めざまし,Mezamashi,Alarm (clock)
EO026,Everyday Objects,スイッチ,スイッチ,Suicchi,Switch
EO027,Everyday Objects,シャツ,シャツ,Shatsu,Shirt
EO028,Everyday Objects,せいふく,せいふく,Seifuku,Uniform
EO029,Everyday Objects,プレゼント,プレゼント,Purezento,Present
EO030,Everyday Objects,[お]土産,おみやげ,Omiyage,Souvenir
EO031,Everyday Objects,切手,きって,Kitte,Postage stamp
EO032,Everyday Objects,葉書,はがき,Hagaki,Postcard
EO033,Everyday Objects,封筒,ふうとう,Fūtō,Envelope
EO034,Everyday Objects,上着,うわぎ,Uwagi,Jacket
EO035,Everyday Objects,ぬいぐるみ,ぬいぐるみ,Nuigurumi,Stuffed toy
FD001,Food & Drink,ご飯,ごはん,Gohan,Cooked rice / Meal
FD002,Food & Drink,朝ごはん,あさごはん,Asagohan,Breakfast
FD003,Food & Drink,昼ごはん,ひるごはん,Hirugohan,Lunch
FD004,Food & Drink,晩ごはん,ばんごはん,Bangohan,Dinner
FD005,Food & Drink,水,みず,Mizu,Water
FD006,Food & Drink,牛乳,ぎゅうにゅう,Gyūnyū,Milk
FD007,Food & Drink,紅茶,こうちゃ,Kōcha,Black tea
FD008,Food & Drink,お茶,おちゃ,Ocha,Tea / Green tea
FD009,Food & Drink,コーヒー,コーヒー,Kōhī,Coffee
FD010,Food & Drink,ジュース,ジュース,Jūsu,Juice
FD011,Food & Drink,ビール,ビール,Bīru,Beer
FD012,Food & Drink,ワイン,ワイン,Wain,Wine
FD013,Food & Drink,[お]酒,[お]さけ,[O]sake,Alcohol
FD014,Food & Drink,パン,パン,Pan,Bread
FD015,Food & Drink,卵,たまご,Tamago,Egg
FD016,Food & Drink,魚,さかな,Sakana,Fish
FD017,Food & Drink,野菜,やさい,Yasai,Vegetable
FD018,Food & Drink,果物,くだもの,Kudamono,Fruit
FD019,Food & Drink,肉,にく,Niku,Meat
FD020,Food & Drink,豚肉,ぶたにく,Butaniku,Pork
FD021,Food & Drink,牛肉,ぎゅうにく,Gyūniku,Beef
FD022,Food & Drink,鶏肉,とりにく,Toriniku,Chicken
FD023,Food & Drink,チョコレート,チョコレート,Chokorēto,Chocolate
FD024,Food & Drink,りんご,りんご,Ringo,Apple
FD025,Food & Drink,みかん,みかん,Mikan,Orange
FD026,Food & Drink,カレーライス,カレーライス,Karē raisu,Curry and rice
FD027,Food & Drink,食べ物,たべもの,Tabemono,Food
FD028,Food & Drink,飲み物,のみもの,Nomimono,Drinks
FD029,Food & Drink,料理,りょうり,Ryōri,Cooking / Cooked food
FD030,Food & Drink,日本料理,にほんりょうり,Nihon ryōri,Japanese cuisine / Food
FD031,Food & Drink,クロワッサン,クロワッサン,Kurowassan,Croissant
FD032,Food & Drink,デザート,デザート,Dezaato,Dessert
FD033,Food & Drink,ゆず,ゆず,Yuzu,Yuzu (citrus fruit)
FD034,Food & Drink,チーズケーキ,チーズケーキ,Chiizukeeki,Cheesecake
FD035,Food & Drink,ハンバーガー,ハンバーガー,Hanbaagaa,Hamburger
FD036,Food & Drink,グルメッテン,グルメッテン,Gurumetten,Gourmetten (Dutch tabletop grill)
FD037,Food & Drink,すき焼き,すきやき,Sukiyaki,Sukiyaki
FD038,Food & Drink,刺身,さしみ,Sashimi,Sashimi
FD039,Food & Drink,[お]寿司,おすし,Osushi,Sushi
FD040,Food & Drink,天ぷら,てんぷら,Tenpura,Tempura
FD041,Food & Drink,ピーマン,ピーマン,Pīman,Bell pepper / Green pepper
FD042,Food & Drink,クッキー,クッキー,Kukkī,Cookie
FD043,Food & Drink,ポップコーン,ポップコーン,Poppukōn,Popcorn
PB001,Places & Buildings,教室,きょうしつ,Kyōshitsu,Classroom
PB002,Places & Buildings,食堂,しょくどう,Shokudō,Cafeteria
PB003,Places & Buildings,事務所,じむしょ,Jimusho,Office
PB004,Places & Buildings,会議室,かいぎしつ,Kaigishitsu,Meeting room
PB005,Places & Buildings,受付,うけつけ,Uketsuke,Reception
PB006,Places & Buildings,ロビー,ロビー,Robī,Lobby
PB007,Places & Buildings,部屋,へや,Heya,Room
PB008,Places & Buildings,トイレ,トイレ,Toire,Toilet
PB009,Places & Buildings,家,いえ,Ie,Home
PB010,Places & Buildings,国,くに,Kuni,Country
PB011,Places & Buildings,会社,かいしゃ,Kaisha,Company
PB012,Places & Buildings,学校,がっこう,Gakkō,School
PB013,Places & Buildings,図書館,としょかん,Toshokan,Library
PB014,Places & Buildings,銀行,ぎんこう,Ginkō,Bank
PB015,Places & Buildings,郵便局,ゆうびんきょく,Yūbinkyoku,Post office
PB016,Places & Buildings,博物館,はくぶつかん,Hakubutsukan,Museum
PB017,Places & Buildings,美術館,びじゅつかん,Bijutsukan,Art museum
PB018,Places & Buildings,百貨店,ひゃっかてん,Hyakkaten,Department store
PB019,Places & Buildings,えいがかん,えいがかん,Eigakan,Movie theater
PB020,Places & Buildings,喫茶店,きっさてん,Kissaten,Coffee shop
PB021,Places & Buildings,本屋,ほんや,Honya,Bookstore
PB022,Places & Buildings,公園,こうえん,Kōen,Park
PB023,Places & Buildings,店,みせ,Mise,Store / Shop
PB024,Places & Buildings,レストラン,レストラン,Resutoran,Restaurant
PB025,Places & Buildings,スーパー,スーパー,Sūpā,Supermarket
PB026,Places & Buildings,駅,えき,Eki,Station
PB027,Places & Buildings,乗り場,のりば,Noriba,Boarding place
